Ocean Biomes,Seas,Oceans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seas,Milotic,Feebas,Corsola,Toxapex,Mareanie,Lapras,Luvdisc,Dragalge,Skrelp,Crabrawler,Pincurchin,Barbaracle,Binacle,Malamar,Inkay,Golisopod,Wimpod,Toxapex,Pincurchin,Barraskewda,Arrokuda,Corsola,Toxapex,Mareanie,Shellos,Bruxish,Gorebyss,Wishiwashi,Gastrodon,Clawitzer,Clauncher,Finneon,Kingdra,Seadra,Horsea,Luvdisc,Pincurchin,Pyukumuku,Wimpod,Toxapex,Mareanie,Clawitzer,Clauncher,Clamperl,Starmie,Staryu,Octillery,Lanturn,Chinchou,Cloyster,Shellder,Pyukumuku,Barbaracle,Binacle,Malamar,Inkay,Shuckle,Slowking,Slowbro,Slowpoke,Golduck,Golisopod,Wimpod,Grapploct,Clobbopus,Cramorant,Toxapex,Mareanie,Wailmer,Wailord,Shellder,Swampert,Mudkip,Marshtomp,Shellos,Gastrodon,Palossand,Sandygast,Krabby,Kingler,Pelipper,Wingull,Primarina,Brionne,Popplio,Piplup,Empoleon,Prinplup,Samurott,Dewott,Oshawott,Dolphink,Victeed,Alsea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oceans,Remoraid,Dragonite,Gyarados,Magikarp,Tentacruel,Tentacool,Mantyke,Dhelmise,Arrokuda,Wishiwashi,Alomomola,Mantine,Qwilfish,Finneon,Wailmer,Wailord,Pelipper,Wingull,Octillery,Sharpedo,Barraskewda,Lumineon,Jellicent,Frillish,Relicanth,Malamar,Inkay,Lumineon,Jellicent,Frillish,Dhelmise,Dragalge,Skrelp,Gorebyss,Huntail,Cursola,Galarian Corsola,Finneon,Lanturn,Chinchou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water Biomes,Lakes,Rivers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lakes,Swanna,Poliwhirl,Ducklett,Basculin,Corphish,Dragapult,Drakloak,Dreepy,Azurill,Marill,Azumarill,Wooper,Quagsire,Golduck,Barraskewda,Arrokuda,Milotic,Feebas,Gyarados,Magikarp,Politoed,Poliwrath,Surskit,Masquerain,Crawdaunt,Swanna,Poliwhirl,Tympole,Seismitoad,Palpitoad,Ludicolo,Lotad,Lombre,Ducklett,Corphish,Whiscash,Seaking,Goldeen,Araquanid,Dewpider,Azurill,Marill,Azumarill,Wooper,Quagsire,Feebas,Gyarados,Magikarp,Blastoise,Wartortle,Squirtle,Drednaw,Chewtle,Politoed,Poliwag,Psyduck,Surskit,Masquerain,Crawdaunt,Barboach,Inteleon,Drizzile,Sobble,Greninja,Froakie,Frogadier,Murizika,Juliefly,Grubey,Capyba,Capybraba,Peasychic,Fairyss,Dolphink,Roseph,Jabuyu,Platypet,Platox,Platimous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rivers,Lombre,Basculin,Corphish,Whiscash,Feraligatr,Croconaw,Totodile,Seaking,Goldeen,Eelektross,Eelektrik,Tynamo,Floatzel,Azurill,Marill,Azumarill,Wooper,Quagsire,Barraskewda,Arrokuda,Finneon,Milotic,Feebas,Gyarados,Magikarp,Drednaw,Chewtle,Remoraid,Buizel,Crawdaunt,Barboach,Psyduck,Carvanha,Corphish,Araquanid,Dewpider,Azurill,Marill,Azumarill,Gyarados,Magikarp,Remoraid,Crawdaunt,Seaking,Goldeen,Stunfisk,Araquanid,Dewpider,Cufant,Copperajah,Haxorus,Fraxure,Axew,Bibarel,Slowbro,Slowpoke,Wormadam Grass,Bidoof,Burmy,Pelipper,Wingull,Farfetch'd,Swampert,Mudkip,Marshtomp,Krabby,Kingler,Feraligatr,Croconaw,Totodile,Capyba,Capybraba,Floatee,Sirenatee,Dolphink,Roseph,Tsuconda,Snariver,Suriqua,Victeed,Alsea,Jabuyu,Platypet,Platox,Platimous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forest Biomes,Forests,Jungles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forests,Noibat,Noivern,Woobat,Swoobat,Crobat,Galvantula,Vespiquen,Combee,Mismagius,Misdreavus,Parasect,Paras,Togedemaru,Joltik,Pichu,Pikachu,Raichu,Chatot,Starly,Pansear,Simisear,Rockruff,Lycanroc Midday,Diggersby,Bunnelby,Sawk,Throh,Bonsly,Snorlax,Conkeldurr,Timburr,Gliscor,Staraptor,Staravia,Munchlax,Scyther,Primeape,Mankey,Simipour,Hypno,Drowzee,Galarian Ponyta,Galarian Rapidash,Wormadam Grass,Murkrow,Honchkrow,Appletun,Flapple,Applin,Bewear,Leavanny,Swadloon,Sewaddle,Togekiss,Lickilicky,Happiny,Mothim,Cascoon,Silcoon,Wurmple,Heracross,Sudowoodo,Togetic,Togepi,Lickitung,Forretress,Pineco,Passimian,Ambipom,Aipom,Butterfree,Metapod,Caterpie,Trevenant,Phantump,Slaking,Vigoroth,Slakoth,Exeggutor,Exeggcute,Lilligant,Petilil,Whimsicott,Scolipede,Cottonee,Whirlipede,Venipede,Leafeon,Skuntank,Stunky,Shiftry,Nuzleaf,Seedot,Spinarak,Ariados,Beedrill,Kakuna,Weedle,Pansage,Ledian,Ledyba,Venomoth,Venonat,Gumshoos,Yungoos,Unfezant,Noctowl,Hoothoot,Poochyena,Mightyena,Scizor,Nickit,Orbeetle,Blipbug,Dottler,Indeedee,Eevee,Stufful,Audino,Delcatty,Skitty,Zoroark,Zorua,Tranquill,Pidove,Gallade,Kirlia,Ralts,Gardevoir,Swablu,Smeargle,Granbull,Snubbull,Persian,Meowth,Chansey,Karrablast,Carnivine,Toxicroak,Croagunk,Serperior,Servine,Snivy,Wynaut,Wobbuffet,Sirfetch'd,Pinsir,Morelull,Shiinotic,Hawlucha,Chesnaught,Quilladin,Chespin,Pachirisu,Purugly,Buneary,Ninjask,Duskull,Beautifly,Volbeat,Obstagoon,Dustox,Dusknoir,Nincada,Thievul,,Lopunny,Glameow,Corviknight,Illumise,Altaria,Corvisquire,Burmy,Kecleon,Dusclops,Rookidee,Rufflet,Braviary,Pangoro,Pancham,Cherrim,Cherubi,Emolga,Amoonguss,Foongus,Shroomish,Komala,Vivillon,Spewpa,Scatterbug,Skwovet,Greedent,Charjabug,Grubbin,Vikavolt,Sawsbuck,Deerling,Cinccino,Minccino,Scyther,Ponyta,Rapidash,Yanma,Yanmega,Fletchling,Hatterene,Hattrem,Hatenna,Lilligant,Petilil,Whimsicott,Scolipede,Cottonee,Whirlipede,Venipede,Leafeon,Skuntank,Stunky,Shiftry,Nuzleaf,Seedot,Spinarak,Ariados,Beedrill,Kakuna,Weedle,Pansage,Ledian,Ledyba,Venomoth,Venonat,Scizor,Nickit,Aromatisse,Spritzee,Talonflame,Fletchinder,Sentret,Furret,Grimmsnarl,Morgrem,Impidimp,Sylveon,Slurpuff,Swirlix,Zoroark,Zorua,Linoone,Zigzagoon,Parasect,Paras,Dartrix,Decidueye,Rowlet,Rookidee,Nincada,Ninjask,Thievul,Corvisquire,Corviknight,Mismagius,Misdreavus,Houndoom,Chingling,Chimecho,Murkrow,Honchkrow,Trevenant,Phantump,Slaking,Vigoroth,Slakoth,Noctowl,Hoothoot,Chandelure,Lampent,Litwick,Duskull,Dusclops,Dusknoir,Emolga,Morelull,Shiinotic,Amoonguss,Foongus,Shroomish,Gengar,Haunter,Gastly,Blissey,Absol,Torterra,Grotle,Turtwig,Sceptile,Grovyle,Treecko,Braixen,Fennekin,Delphox,Murizika,Juliefly,Grubey,Goldarin,Headlesh,Brasar Ponyta,Tropicanda,Wolfscure,Lobbyght,Tsuconda,Snariver,Suriqua,Bunntric,Foxion,Brasar Ninetales,Brasar Vulpix,Houndour,Karcahawk,Canarin,Bumboi
Jungles,Kangaskhan,Pansear,Simisear,Scyther,Primeape,Mankey,Cufant,Copperajah,Simipour,Ambipom,Aipom,Butterfree,Metapod,Caterpie,Pansage,Ledian,Ledyba,Venomoth,Venonat,Liepard,Purrloin,Ivysaur,Venusaur,Bulbasaur,Kecleon,Charjabug,Grubbin,Vikavolt,Oranguru,Hypno,Drowzee,Passimian,Fearow,Xatu,Natu,Komala,Alolan Exeggutor,Tangela,Tangrowth,Vileplume,Gloom,Oddish,Tsareena,Steenee,Bounsweet,Lurantis,Fomantis,Exeggcute,Bellossom,Tropius,Durant,Heatmor,Weepinbell,Victreebel,Bellsprout,Trumbeak,Pikipek,Toucannon,Toxicroak,Croagunk,Breloom,Grookey,Rillaboom,Thwackey,Incineroar,Torracat,Litten,Sceptile,Grovyle,Treecko,Alarala,Canindarara,Perigreen,Murizika,Juliefly,Grubey,Acairock,Brasar Vanillish,Brasar Vanillite,Goldarin,Monkick,Tropicanda,Tsuconda,Snariver,Suriqua,Guarilla,Macacique,Macarim,Flatirica,Jaguarze,Flaguar,Foxion,Brasar Ninetales,Brasar Vulpix,Guaranboo,Guarannah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat Biomes,Wasteland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wasteland,Sandaconda,Heliolisk,Silicobra,Helioptile,Maractus,Krookodile,Krokorok,Sandile,Hippowdon,Hippopotas,Flygon,Vibrava,Trapinch,Crustle,Dwebble,Skorupi,Drapion,Dugtrio,Diglett,Sandslash,Sandshrew,Scraggy,Scrafty,Elgyem,Beheeyem,Rockruff,Lycanroc,Xatu,Natu,Gliscor,Watchog,Patrat,Dodrio,Braixen,Fennekin,Cacturne,Cacnea,Brasar Wooloo,Dubwool,Pepperim,Brasar Cherubi,Headlesh,Brasar Ponyta,Flatirica,Jaguarze,Flaguar,Karcahawk,Canarin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky Biomes,Mountains,Badlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mountains,Ursaring,Teddiursa,Chatot,Starly,Duraludon,Falinks,Centiskorch,Sizzlipede,Carkol,Coalossal,Rolycoly,Kommo-O,Jangmo-O,Hakamo-O,Drampa,Clefairy,Mienshao,Mienfoo,Hariyama,Makuhita,Cleffa,Clefable,Turtonator,Rockruff,Lycanroc,Pangoro,Pancham,Skiddo,Diggersby,Bunnelby,Durant,Heatmor,Cinccino,Minccino,Sawk,Throh,Bonsly,Snorlax,Conkeldurr,Timburr,Gigalith,Boldore,Roggenrola,Stoutland,Gliscor,Rhyperior,Rhydon,Rhyhorn,Chingling,Chimecho,Staraptor,Staravia,Munchlax,Absol,Medicham,Meditite,Tyranitar,Larvitar,Pupitar,Hitmontop,Tyrogue,Hitmonchan,Hitmonlee,Stantler,Shuckle,Steelix,Onix,Scyther,Cubone,Marowak,Golem,Graveler,Geodude,Machamp,Machoke,Machop,Primeape,Mankey,Jumpluff,Skiploom,Hoppip,Vanillish,Vanilluxe,Vanillite,Froslass,Mamoswine,Swinub,Piloswine,Sneasel,Weavile,Riolu,Lopunny,Spinda,Aron,Grumpig,Spoink,Lairon,Aggron,Lucario,Buneary,Sawsbuck,Deerling,Glalie,Snorunt,Hydreigon,Salamence,Metagross,Beldum,Shelgon,Bagon,Metang,Gliscor,Cramorant,Pelipper,Wingull,Spoink,Grumpig,Oranguru,Minior,Monferno,Infernape,Chimchar,Dellbat,Pipat,Bunntric,Briganite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Badlands,Salazzle,Salandit,Toxel,Toxtricity Low Key,Mandibuzz,Vullaby,Scraggy,Scrafty,Garchomp,Gabite,Gible,Houndoom,Falinks,Kommo-O,Jangmo-O,Hakamo-O,Mudsdale,Mudbray,Rockruff,Lycanroc,Rhyperior,Rhydon,Rhyhorn,Tyranitar,Larvitar,Pupitar,Skarmory,Cubone,Marowak,Pawniard,Duskull,Metagross,Beldum,Dusclops,Dusknoir,Metang,Toxtricity Amped,Spearow,Fearow,Diggersby,Bunnelby,Donphan,Phanpy,Hydreigon,Pawniard,Skarmory,Kangaskhan,Brasar Wooloo,Dubwool,Houndour,Flaralf,Guarwolf,Karcahawk,Canarin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Field Biomes,Fields,Savannas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fields,Togedemaru,Dedenne,Electivire,Electabuzz,Elekid,Plusle,Minun,Spearow,Chatot,Starly,Skiddo,Diggersby,Bunnelby,Stoutland,Staraptor,Staravia,Medicham,Meditite,Jumpluff,Skiploom,Hoppip,Pidgey,Fletchling,Watchog,Patrat,Morpeko,Dubwool,Wooloo,Nidoking,Nidorino,Nidoran M,Litleo,Pyroar,Nidorina,Nidoqueen,Nidoran F,Nickit,Orbeetle,Blipbug,Dottler,Ribombee,Sunflora,Sunkern,Florges,Floette,Flabebe,Talonflame,Fletchinder,Milcery,Herdier,Lillipup,Alcremie,Cutiefly,Pumpkaboo,Gourgeist,Espurr,Meowstic,Swablu,Linoone,Zigzagoon,Persian,Meowth,Raticate,Rattata,Escavalier,Karrablast,Yamper,Eldegoss,Gossifleur,Chesnaught,Quilladin,Chespin,Amoonguss,Foongus,Pidgeot,Pidgeotto,Altaria,Thievul,Luxray,Kricketune,Roserade,Luxio,Shinx,Kecleon,Budew,Obstagoon,Boltund,Spinda,Roselia,Kricketot,Toxel,Toxtricity Low Key,Sandslash,Sandshrew,Stonjourner,Chingling,Chimecho,Scyther,Hypno,Drowzee,Electrike,Zangoose,Manectric,Gumshoos,Yungoos,Morpeko,Dubwool,Wooloo,Poochyena,Mightyena,Scizor,Tauros,Ponyta,Rapidash,Serperior,Servine,Snivy,Sentret,Furret,Linoone,Zigzagoon,Pidgey,Incineroar,Torracat,Litten,Farfetch'd,Galarian Farfetch'd,Yamper,Obstagoon,Boltund,Fearow,Watchog,Patrat,Unfezant,Tranquill,Pidove,Arcanine,Growlithe,Bellossom,Sirfetch'd,Hawlucha,Swellow,Taillow,Toxtricity Amped,Mandibuzz,Vullaby,Mudsdale,Mudbray,Rhyperior,Rhydon,Rhyhorn,Bouffalant,Zebstrika,Blitzle,Doduo,Miltank,Girafarig,Dodrio,Tauros,Ponyta,Rapidash,Arbok,Ekans,Raticate,Rattata,Kangaskhan,Arcanine,Growlithe,Skiddo,Dubwool,Wooloo,Miltank,Yamper,Boltund,Tangela,Tangrowth,Vileplume,Gloom,Oddish,Pikachu,Braixen,Fennekin,Donphan,Phanpy,Ampharos,Flaaffy,Mareep,Meganium,Bayleef,Chikorita,Cinderace,Raboot,Scorbunny,Preampere,Polchigeist,Brasar Sinistea,Headlesh,Brasar Ponyta,Peasychic,Fairyss,Thuncken,Chictric,Foxion,Brasar Ninetales,Brasar Vulpix,Flaralf,Guarwolf,Bellcaf,Bumboi,Kapoehnaue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Savannas,Rhyperior,Rhydon,Rhyhorn,Cufant,Copperajah,Hypno,Watchog,Patrat,Bouffalant,Zebstrika,Blitzle,Doduo,Liepard,Poochyena,Mightyena,Girafarig,Dodrio,Nidoking,Nidorino,Nidoran M,Litleo,Pyroar,Nidorina,Nidoqueen,Nidoran F,Arbok,Ekans,Purrloin,Raticate,Rattata,Luxray,Luxio,Shinx,Blaziken,Combusken,Torchic,Pignite,Emboar,Tepig,Headlesh,Brasar Ponyta,Flatirica,Jaguarze,Flaguar,Flaralf,Guarwolf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Underground Biomes,Caves,Canyons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caves,Hydreigon,Noibat,Noivern,Woobat,Swoobat,Crobat,Deino,Druddigon,Zweilous,Dunsparce,Nosepass,Whismur,Sableye,Loudred,Zubat,Exploud,Golbat,Galvantula,Vespiquen,Combee,Crustle,Dwebble,Mismagius,Misdreavus,Sandslash,Sandshrew,Klinklang,Klink,Klang,Joltik,Bronzong,Bronzor,Duraludon,Kommo-O,Jangmo-O,Hakamo-O,Turtonator,Durant,Heatmor,Shuckle,Cubone,Marowak,Golem,Graveler,Geodude,Machamp,Machoke,Machop,Haxorus,Fraxure,Axew,Solrock,Aggron,Lairon,Mawile,Lunatone,Aron,Carbink,Gigalith,Boldore,Roggenrola,Excadrill,Drilbur,Dugtrio,Diglett,Steelix,Onix,Parasect,Paras,Eelektross,Eelektrik,Tynamo,Garchomp,Gabite,Gible,Rhyperior,Rhydon,Rhyhorn,Salamence,Bagon,Shelgon,Ferrothorn,Ferroseed,Golisopod,Kingdra,Seadra,Horsea,Relicanth,Wynaut,Wobbuffet,Brasar Sableye,Allicuca,Brigarock,Wormadam Ground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
